Station Name,mean_duration,std_duration,median_duration,p95_duration,p99_duration,total_duration,n
ALAPPAKKAM,1.0,0.0,1.0,1.0,1.0,6.0,6
ALAWAL PUR,1.666667,0.516398,2.0,2.0,2.0,10.0,6
ALAWALPUR ID,1.0,0.0,1.0,1.0,1.0,20.0,20
ALEHPUR,1.25,0.5,1.0,1.85,1.97,5.0,4
ALER,1.0,0.0,1.0,1.0,1.0,24.0,24
ALEWAHI,1.875,0.353553,2.0,2.0,2.0,15.0,8
ALGAPUR,1.0,0.0,1.0,1.0,1.0,2.0,2
ALIGANJ,2.0,0.0,2.0,2.0,2.0,24.0,12
ALIGARH JN.,25.111111,127.085693,3.0,11.0,624.0,2486.0,99
ALINDRA ROAD,1.0,0.0,1.0,1.0,1.0,8.0,8
ALIPUR DUAR,2.586207,2.920193,1.0,10.0,10.0,150.0,58
ALIYAVADA,1.3,0.483046,1.0,2.0,2.0,13.0,10
ALLAHABAD CI,1.333333,0.957427,2.0,2.0,2.0,44.0,33
ALLAHABAD JN,30.365854,128.037976,10.0,32.0,881.4,6225.0,205
ALLEPPEY,16.264706,116.774386,3.0,3.0,320.46,1106.0,68
ALLURUROAD,1.0,0.0,1.0,1.0,1.0,6.0,6
ALMATTI,1.263158,0.452414,1.0,2.0,2.0,24.0,19
ALMAW (HALT),1.111111,0.333333,1.0,1.6,1.92,10.0,9
ALNAVAR JN.,1.576923,0.856648,1.0,2.0,4.25,41.0,26
ALNIYA,1.3,0.483046,1.0,2.0,2.0,13.0,10
ALTAGRAM,1.0,0.0,1.0,1.0,1.0,4.0,4
ALUABARI ROA,2.0,0.0,2.0,2.0,2.0,70.0,35
ALWAL HALT,1.0,0.0,1.0,1.0,1.0,34.0,34
ALWAR JN.,3.746032,4.507944,3.0,5.0,26.9,236.0,63
ALWAR TIRUNA,1.0,0.0,1.0,1.0,1.0,12.0,12
ALWAYE,2.006098,0.282342,2.0,2.0,2.37,329.0,164
AMAGURA,1.0,0.0,1.0,1.0,1.0,2.0,2
AMALNER,33.608696,211.669079,2.0,4.0,793.15,1546.0,46
AMALPUR,1.0,0.0,1.0,1.0,1.0,8.0,8
AMALSAD,1.5,0.57735,1.0,2.0,2.73,42.0,28
AMANVADI,1.0,0.0,1.0,1.0,1.0,6.0,6
AMAR SAHEED,1.0,,1.0,1.0,1.0,1.0,1
AMARAVATHI C,1.0,0.0,1.0,1.0,1.0,2.0,2
AMARAVILLA H,1.0,0.0,1.0,1.0,1.0,10.0,10
AMARDA ROAD,1.125,0.341565,1.0,2.0,2.0,18.0,16
AMARGARH,1.0,0.0,1.0,1.0,1.0,10.0,10
AMARGOL,1.125,0.353553,1.0,1.65,1.93,9.0,8
AMARPUR-JORA,1.0,0.0,1.0,1.0,1.0,6.0,6
AMARPURA,1.25,0.5,1.0,1.85,1.97,5.0,4
AMARPURA RAT,1.5,0.57735,1.5,2.0,2.0,6.0,4
AMARSAR,1.166667,0.408248,1.0,1.75,1.95,7.0,6
AMARUN,1.0,0.0,1.0,1.0,1.0,12.0,12
AMAUSI,1.0,0.0,1.0,1.0,1.0,28.0,28
AMB  ANDAURA,0.0,0.0,0.0,0.0,0.0,0.0,8
AMBAGAON,1.0,0.0,1.0,1.0,1.0,2.0,2
AMBALA CANTT,12.686131,81.952658,8.5,20.0,30.54,3476.0,274
AMBALA CITY,1.758621,0.539992,2.0,2.0,2.86,102.0,58
AMBALAPUZHA,1.0,0.0,1.0,1.0,1.0,32.0,32
AMBARI,1.0,0.0,1.0,1.0,1.0,4.0,4
AMBARI FALAK,1.0,0.0,1.0,1.0,1.0,12.0,12
AMBASAMUDRAM,1.0,0.0,1.0,1.0,1.0,8.0,8
AMBASSA,2.0,0.0,2.0,2.0,2.0,20.0,10
AMBATTUR,1.0,0.0,1.0,1.0,1.0,281.0,281
AMBATURAI,1.285714,1.069045,1.0,2.4,4.48,18.0,14
AMBERNATH,6.942222,88.206693,1.0,1.0,2.0,1562.0,225
AMBIAPUR,1.0,0.0,1.0,1.0,1.0,8.0,8
AMBIKA (ROHI,1.0,0.0,1.0,1.0,1.0,4.0,4
AMBIKA BHAWA,1.0,0.0,1.0,1.0,1.0,4.0,4
AMBIKA KALNA,1.160714,0.596255,1.0,2.0,3.35,65.0,56
AMBIKAPUR,0.0,0.0,0.0,0.0,0.0,0.0,10
AMBIKESHWAR,2.0,0.0,2.0,2.0,2.0,8.0,4
AMBIVLI,1.0,0.0,1.0,1.0,1.0,78.0,78
AMBLE,1.0,0.0,1.0,1.0,1.0,5.0,5
AMBLI ROAD,2.285714,0.755929,2.0,3.4,3.88,16.0,7
AMBLIYASAN J,277.611111,423.823234,2.0,1091.5,1098.3,4997.0,18
AMBODALA,2.545455,1.184313,2.0,5.0,5.0,56.0,22
AMBUR,1.6,0.498273,2.0,2.0,2.0,48.0,30
AMDARA,1.714286,0.82542,2.0,2.7,3.74,24.0,14
AMDI,1.0,0.0,1.0,1.0,1.0,6.0,6
AMETHI,1.910714,0.287736,2.0,2.0,2.0,107.0,56
AMGAON,1.92,0.276887,2.0,2.0,2.0,48.0,25
AMGURI,2.428571,1.08941,2.0,5.0,5.0,34.0,14
AMHERA  HALT,1.0,0.0,1.0,1.0,1.0,4.0,4
AMILA (HALT),1.0,0.0,1.0,1.0,1.0,8.0,8
AMIN,1.0,0.0,1.0,1.0,1.0,11.0,11
AMJONGA,1.0,0.0,1.0,1.0,1.0,6.0,6
AMLA JN.,32.277778,190.900094,2.0,36.75,710.7,1743.0,54
AMLAI,2.083333,0.408248,2.0,2.0,3.54,50.0,24
AMLETHA,1.0,0.0,1.0,1.0,1.0,2.0,2
AMLI,1.333333,0.516398,1.0,2.0,2.0,8.0,6
AMLO,1.333333,0.516398,1.0,2.0,2.0,8.0,6
AMLORI SARSA,1.625,0.5,2.0,2.0,2.0,26.0,16
AMMANABROLU,1.0,0.0,1.0,1.0,1.0,20.0,20
AMMAPALI,1.0,0.0,1.0,1.0,1.0,12.0,12
AMMAPET,1.0,0.0,1.0,1.0,1.0,9.0,9
AMMASANDRA,1.0,0.0,1.0,1.0,1.0,16.0,16
AMMUGUDA HAL,1.0,0.0,1.0,1.0,1.0,34.0,34
AMNAPUR,1.0,0.0,1.0,1.0,1.0,4.0,4
AMONI,2.0,0.0,2.0,2.0,2.0,8.0,4
AMRAVATI,63.0,262.286366,0.0,297.0,1115.1,1890.0,30
AMRELI,1.0,0.0,1.0,1.0,1.0,6.0,6
AMRELI PARA,1.0,0.0,1.0,1.0,1.0,6.0,6
AMRITHAPURA,1.0,0.0,1.0,1.0,1.0,8.0,8
AMRITSAR JN.,24.409449,150.531616,0.0,25.0,826.6,3100.0,127
AMROHA,2.509804,1.189497,2.0,5.0,5.0,128.0,51
AMRUTVEL,1.0,0.0,1.0,1.0,1.0,4.0,4
AMTA,0.0,0.0,0.0,0.0,0.0,0.0,6
ANAKAPALLE,1.472222,0.731046,1.0,2.0,3.16,106.0,72
ANAMALAI ROA,1.0,0.0,1.0,1.0,1.0,2.0,2
ANAND JN.,1.444444,0.852803,2.0,2.0,2.0,351.0,243
ANAND NAGAR,38.166667,220.79821,5.0,5.0,849.93,1603.0,42
ANAND VIHAR,21.907143,150.635531,0.0,1.0,965.0,3067.0,140
ANANDATANDAV,1.0,0.0,1.0,1.0,1.0,8.0,8
ANANDPUR SAH,2.090909,1.269011,2.0,5.0,5.0,46.0,22
ANANGUR,1.0,0.0,1.0,1.0,1.0,10.0,10
ANANTAPUR,1.761905,0.785701,2.0,2.0,5.0,148.0,84
ANANTAPURAM,1.5,0.534522,1.5,2.0,2.0,12.0,8
ANANTARAJUPE,1.25,0.5,1.0,1.85,1.97,5.0,4
ANANTNAG,2.181818,0.664499,2.0,2.95,4.58,48.0,22
ANANTPAITH,2.0,0.0,2.0,2.0,2.0,8.0,4
ANAPARTI,1.035714,0.188982,1.0,1.0,1.73,29.0,28
ANARA,1.333333,0.477119,1.0,2.0,2.0,56.0,42
ANAS,1.1,0.316228,1.0,1.55,1.91,11.0,10
ANCHELI,1.235294,0.562296,1.0,2.2,2.84,21.0,17
ANCHURI PH,1.0,0.0,1.0,1.0,1.0,15.0,15
ANDAL JN.,21.417722,135.488916,2.0,9.2,560.0,1692.0,79
ANDANAPETTAI,1.0,0.0,1.0,1.0,1.0,7.0,7
ANDHERI,2.222222,1.120897,2.0,3.0,5.22,60.0,27
ANDUL,1.034783,0.373002,1.0,1.0,1.0,119.0,115
ANEKAL ROAD,1.0,0.0,1.0,1.0,1.0,10.0,10
ANGADGERI H,1.0,0.0,1.0,1.0,1.0,5.0,5
ANGADI,1.0,0.0,1.0,1.0,1.0,9.0,9
ANGADIPURAM,1.071429,0.267261,1.0,1.35,1.87,15.0,14
ANGAI HALT,1.0,0.0,1.0,1.0,1.0,4.0,4
ANGALAKUDURU,1.0,0.0,1.0,1.0,1.0,15.0,15
ANGAMALI (FO,1.0,0.0,1.0,1.0,1.0,48.0,48
ANGAR,1.25,0.5,1.0,1.85,1.97,5.0,4
ANGAR GHAT,2.0,0.0,2.0,2.0,2.0,24.0,12
ANGUA PH,1.0,0.0,1.0,1.0,1.0,13.0,13
ANGUL,2.173913,0.973067,2.0,5.0,5.0,100.0,46
ANIPUR,1.0,0.0,1.0,1.0,1.0,4.0,4
ANJANI,1.0,0.0,1.0,1.0,1.0,4.0,4
ANJAR,2.0,0.0,2.0,2.0,2.0,24.0,12
ANJI SHAHABA,1.863636,0.35125,2.0,2.0,2.0,41.0,22
ANKAI,1.428571,0.513553,1.0,2.0,2.0,20.0,14
ANKLAV,1.0,0.0,1.0,1.0,1.0,4.0,4
ANKLESHWAR J,1.622222,0.610356,2.0,2.0,3.0,146.0,90
ANKLESHWAR U,1.0,0.0,1.0,1.0,1.0,2.0,2
ANKOLA,1.5,0.522233,1.5,2.0,2.0,18.0,12
ANKORAH (AKO,1.25,0.447214,1.0,2.0,2.0,20.0,16
ANKUSPUR,1.285714,0.468807,1.0,2.0,2.0,18.0,14
ANNANUR,1.01087,0.147442,1.0,1.0,1.0,186.0,184
ANNAVARAM,1.1,0.303822,1.0,2.0,2.0,44.0,40
ANNECHAKANAH,1.0,0.0,1.0,1.0,1.0,6.0,6
ANNIGERI,1.291667,0.858673,1.0,2.0,4.31,31.0,24
ANPARA,2.0,0.0,2.0,2.0,2.0,10.0,5
ANTAH,1.714286,0.48795,2.0,2.0,2.0,12.0,7
ANTRI,1.75,0.5,2.0,2.0,2.0,7.0,4
ANTU,1.222222,0.427793,1.0,2.0,2.0,22.0,18
ANUGRAH NARA,1.333333,0.477119,1.0,2.0,2.0,56.0,42
ANUP SHAHR,1.75,0.5,2.0,2.0,2.0,7.0,4
ANUPGANJ,1.0,0.0,1.0,1.0,1.0,6.0,6
ANUPGARH,0.0,0.0,0.0,0.0,0.0,0.0,8
ANUPPAMBATTU,1.0,0.0,1.0,1.0,1.0,78.0,78
ANUPPUR JN.,6.805556,6.808526,5.0,27.25,30.0,490.0,72
ANVARDIKANPE,1.214286,0.425815,1.0,2.0,2.0,17.0,14
AONLA,2.857143,1.380131,2.0,5.0,5.0,80.0,28
APPIKATLA,1.0,0.0,1.0,1.0,1.0,14.0,14
APTA,1.0,0.0,1.0,1.0,1.0,8.0,8
ARA,2.336283,1.527198,2.0,5.0,5.0,264.0,113
ARABAGATTA,1.0,0.0,1.0,1.0,1.0,6.0,6
ARAG,1.125,0.353553,1.0,1.65,1.93,9.0,8
ARAKKONAM JN,90.960352,284.213016,2.0,862.0,1299.8,20648.0,227
ARAKKONAM NO,1.142857,0.377964,1.0,1.7,1.94,8.0,7
ARAKKONAM WE,1.0,0.0,1.0,1.0,1.0,2.0,2
ARAKU,8.75,4.787136,7.5,14.25,14.85,35.0,4
ARALAGUPPE,1.0,0.0,1.0,1.0,1.0,10.0,10
ARALVAYMOLI,1.0,0.0,1.0,1.0,1.0,10.0,10
ARAMBAG,47.0,142.404939,0.0,278.0,542.2,1175.0,25
ARAMBAKKAM,1.029412,0.171499,1.0,1.0,1.67,35.0,34
ARAND,1.666667,0.516398,2.0,2.0,2.0,10.0,6
ARANGHATA,1.026316,0.162221,1.0,1.0,1.63,39.0,38
ARANGMAHANAD,1.666667,0.516398,2.0,2.0,2.0,10.0,6
ARAON,1.25,0.5,1.0,1.85,1.97,5.0,4
ARARIYA,2.2,0.774597,2.0,2.9,4.58,33.0,15
ARARIYA COUR,2.0,0.0,2.0,2.0,2.0,38.0,19
ARASALU,1.0,0.0,1.0,1.0,1.0,4.0,4
ARAUL MAKANP,1.666667,0.5,2.0,2.0,2.0,15.0,9
ARAVALI ROAD,1.333333,0.516398,1.0,2.0,2.0,8.0,6
ARAVALLI,1.0,0.0,1.0,1.0,1.0,12.0,12
ARAVANKADU,1.0,0.0,1.0,1.0,1.0,8.0,8
ARCHIPATHAR,1.0,0.0,1.0,1.0,1.0,8.0,8
ARELI (HALT),1.0,0.0,1.0,1.0,1.0,7.0,7
AREPALLI HAL,1.0,0.0,1.0,1.0,1.0,6.0,6
ARGORA  PH,1.0,0.0,1.0,1.0,1.0,7.0,7
ARGUL,1.0,0.0,1.0,1.0,1.0,10.0,10
ARIGADA,1.0,0.0,1.0,1.0,1.0,4.0,4
ARIYALUR,1.266667,0.449776,1.0,2.0,2.0,38.0,30
ARJANSAR,2.0,0.0,2.0,2.0,2.0,12.0,6
ARJUNAHALLI,1.0,0.0,1.0,1.0,1.0,6.0,6
ARJUNI,1.9,0.316228,2.0,2.0,2.0,19.0,10
ARKHA HALT,1.0,0.0,1.0,1.0,1.0,4.0,4
ARMOOR,1.0,0.0,1.0,1.0,1.0,2.0,2
ARNEJ,1.0,0.0,1.0,1.0,1.0,10.0,10
ARNETHA,1.166667,0.408248,1.0,1.75,1.95,7.0,6
ARNI ROAD,1.0625,0.25,1.0,1.25,1.85,17.0,16
ARNIYA,1.0,0.0,1.0,1.0,1.0,6.0,6
ARSENI,1.0,0.0,1.0,1.0,1.0,4.0,4
ARSIKERE JN.,35.571429,210.953399,5.0,5.0,1435.0,3237.0,91
ARTALAKATTA,1.0,0.0,1.0,1.0,1.0,2.0,2
ARTS COLLAGE,1.0,0.0,1.0,1.0,1.0,99.0,99
ARUMUGANERI,1.0,0.0,1.0,1.0,1.0,14.0,14
ARUN NAGAR H,1.0,0.0,1.0,1.0,1.0,8.0,8
ARUNACHAL,5.285714,9.474083,2.0,26.75,29.35,74.0,14
ARUPPUKKOTTA,1.0,0.0,1.0,1.0,1.0,6.0,6
ARUR H.,1.0,0.0,1.0,1.0,1.0,8.0,8
ASAFPUR,1.916667,0.288675,2.0,2.0,2.0,23.0,12
ASAIPUR JOBN,1.473684,0.512989,1.0,2.0,2.0,28.0,19
ASALODA,1.0,0.0,1.0,1.0,1.0,12.0,12
ASAN,1.0,0.0,1.0,1.0,1.0,6.0,6
ASANBONI,1.0,0.0,1.0,1.0,1.0,16.0,16
ASANGAON,116.141026,297.2893,1.0,900.15,1112.47,9059.0,78
ASANSOL MAIN,42.513308,191.772385,5.0,41.3,1259.2,11181.0,263
ASAOTI,1.020833,0.144338,1.0,1.0,1.53,49.0,48
ASARANADA,1.0,0.0,1.0,1.0,1.0,8.0,8
ASAUDAH,1.0,0.0,1.0,1.0,1.0,26.0,26
ASHAPURA GOM,2.0,0.0,2.0,2.0,2.0,24.0,12
ASHAPURNA DE,1.0,0.0,1.0,1.0,1.0,5.0,5
ASHOK NAGAR,2.0,0.0,2.0,2.0,2.0,72.0,36
ASHOKAPURAM,1.0,0.0,1.0,1.0,1.0,12.0,12
ASHOKNAGAR R,1.0,0.0,1.0,1.0,1.0,91.0,91
ASHTEGAON,1.5,0.57735,1.5,2.0,2.0,6.0,4
ASIFABAD ROA,1.0,0.0,1.0,1.0,1.0,12.0,12
ASIRGARH ROA,1.25,0.5,1.0,1.85,1.97,5.0,4
ASLANA,1.875,0.353553,2.0,2.0,2.0,15.0,8
ASLU,1.125,0.353553,1.0,1.65,1.93,9.0,8
ASNOTI,1.0,0.0,1.0,1.0,1.0,8.0,8
ASOKHAR,2.0,0.0,2.0,2.0,2.0,12.0,6
ASPARI,1.0,0.0,1.0,1.0,1.0,2.0,2
ASRA HALT,1.0,0.0,1.0,1.0,1.0,18.0,18
ASTHAL BOHAR,1.129032,0.718421,1.0,1.0,3.8,35.0,31
ASVALI,1.25,0.5,1.0,1.85,1.97,5.0,4
ASWAPURAM,1.0,0.0,1.0,1.0,1.0,4.0,4
ATA,2.0,0.0,2.0,2.0,2.0,8.0,4
ATAMANDA,1.0,0.0,1.0,1.0,1.0,8.0,8
ATARI JN,0.0,0.0,0.0,0.0,0.0,0.0,8
ATARRA,2.0,0.0,2.0,2.0,2.0,38.0,19
ATELI,1.0,0.0,1.0,1.0,1.0,8.0,8
ATGAON,1.0,0.0,1.0,1.0,1.0,38.0,38
ATHMAL GOLA,1.625,0.491869,2.0,2.0,2.0,52.0,32
ATHSARAI,1.0,0.0,1.0,1.0,1.0,2.0,2
ATRAMPUR,1.0,0.0,1.0,1.0,1.0,4.0,4
ATRAULI ROAD,1.75,0.46291,2.0,2.0,2.0,14.0,8
ATRAURA (HAL,1.111111,0.333333,1.0,1.6,1.92,10.0,9
ATRU,1.5,0.57735,1.5,2.0,2.0,6.0,4
ATTABIRA,2.0,0.0,2.0,2.0,2.0,16.0,8
ATTILI,1.0,0.0,1.0,1.0,1.0,26.0,26
ATTIPATTU,1.0,0.0,1.0,1.0,1.0,102.0,102
ATTIPATTU PU,1.009901,0.099504,1.0,1.0,1.0,102.0,101
ATTUR,1.583333,0.514929,2.0,2.0,2.0,19.0,12
ATUL,1.0,0.0,1.0,1.0,1.0,16.0,16
ATWA KURSATH,1.0,0.0,1.0,1.0,1.0,4.0,4
ATWA MUTHIA,1.0,0.0,1.0,1.0,1.0,4.0,4
AUJURI,1.5,0.57735,1.5,2.0,2.0,6.0,4
AULENDA,1.0,0.0,1.0,1.0,1.0,8.0,8
AUNG,1.285714,0.48795,1.0,2.0,2.0,9.0,7
AUNLAJORI JN,7.5,3.535534,7.5,9.75,9.95,15.0,2
AUNRIHAR JN.,2.894737,3.168928,2.0,5.0,12.5,220.0,76
AURANG NAGAR,1.3,0.483046,1.0,2.0,2.0,13.0,10
AURANGABAD,5.529412,6.907644,5.0,8.25,31.55,376.0,68
AUSA ROAD,1.0,0.0,1.0,1.0,1.0,4.0,4
AUVANEESWARA,1.0,0.0,1.0,1.0,1.0,16.0,16
AUWA,1.25,0.5,1.0,1.85,1.97,5.0,4
AVADI,57.460481,212.904789,1.0,567.5,1117.0,16721.0,291
AVATIHALLI,1.0,0.0,1.0,1.0,1.0,4.0,4
AVIDHA,1.0,0.0,1.0,1.0,1.0,2.0,2
AWA GARH,1.0,0.0,1.0,1.0,1.0,4.0,4
AWANTIPURA,1.090909,0.294245,1.0,1.95,2.0,24.0,22
AWAPUR F,1.0,,1.0,1.0,1.0,1.0,1
AWASANI,1.0,0.0,1.0,1.0,1.0,8.0,8
AWATARNAGAR,1.0,0.0,1.0,1.0,1.0,12.0,12
AYANDUR,1.0,,1.0,1.0,1.0,1.0,1
AYODHYA,3.827586,6.385669,2.0,25.0,27.15,222.0,58
AYODHYAPATTI,1.0,0.0,1.0,1.0,1.0,8.0,8
AYYALUR,1.0,0.0,1.0,1.0,1.0,6.0,6
AYYAMPET,1.0,0.0,1.0,1.0,1.0,12.0,12
AZAMGARH,7.558824,21.7328,5.0,5.0,88.75,257.0,34
AZAMNAGAR RO,1.809524,0.402374,2.0,2.0,2.0,38.0,21
AZARA,1.0,0.0,1.0,1.0,1.0,8.0,8
AZHWARKURUCH,1.0,0.0,1.0,1.0,1.0,8.0,8
