customer_id,customer_name,city,status,city_original
c058,Customer_058,Trivandrum,active,trivandrm
c059,Customer_059,Chennai,active,Chennai
c060,Customer_060,Bengaluru,active,Bengaluru
c061,Customer_061,Trivandrum,active,Trivandrum
c062,Customer_062,Trivandrum,active,Trivandrum
c063,Customer_063,Chennai,active,Chennai
c064,Customer_064,Coimbatore,active,Coimbatore
c065,Customer_065,Kochi,active,Kochi
c066,Customer_066,Mumbai,active,Mumbai
c067,Customer_067,Mumbai,active,MUMBAI
c068,Customer_068,Kochi,active,Kochi
c069,Customer_069,Pune,active,Poona
c070,Customer_070,Chennai,active,Chennai
c071,Customer_071,Chennai,active,chennai
c072,Customer_072,Bengaluru,inactive,Bengaluru
c073,Customer_073,Bengaluru,active,Bengaluru
c074,Customer_074,Trivandrum,active,Trivandrum
c075,Customer_075,Pune,active,Pune
c076,Customer_076,Pune,active,PUNE
c077,Customer_077,Hyderabad,inactive,Hyderabad
c078,Customer_078,Trivandrum,inactive,Trivandrum
c079,Customer_079,Trivandrum,active,trivandrm
c080,Customer_080,Chennai,inactive,Chennai
c081,Customer_081,Bengaluru,active,Bengaluru
c082,Customer_082,Hyderabad,inactive,Hyderabad
c083,Customer_083,Kochi,active,Kochi
c084,Customer_084,Trivandrum,active,Trivandrum
c085,Customer_085,Trivandrum,active,Trivandrum
c086,Customer_086,Chennai,active,Chennai
c087,Customer_087,Pune,inactive,Poona
c088,Customer_088,Mumbai,inactive,Mumbai
c089,Customer_089,Kochi,active,koChi
c090,Customer_090,Kochi,active,KOCHI
c091,Customer_091,Hyderabad,active,HYDERABAD
c092,Customer_092,Coimbatore,active,Coimbatore
c093,Customer_093,Chennai,active,Chennai
c094,Customer_094,Chennai,active,Chennai
c095,Customer_095,Pune,active,Pune
c096,Customer_096,Kochi,active,Kochi
c097,Customer_097,Bengaluru,active,Bengaluru
c098,Customer_098,Coimbatore,active,Coimbatore
c099,Customer_099,Bengaluru,inactive,Bengaluru
c100,Customer_100,Chennai,active,Chennai
c101,Customer_101,Pune,active,Pune
c102,Customer_102,Bengaluru,active,Bengaluru
c103,Customer_103,Trivandrum,active,Trivandrum
c104,Customer_104,Mumbai,active,MUMBAI
c105,Customer_105,Bengaluru,active,bengaluru
c106,Customer_106,Pune,active,Pune
c107,Customer_107,Hyderabad,active,Hyderabad
c108,Customer_108,Pune,active,Pune
c109,Customer_109,Hyderabad,active,HYDERABAD
c110,Customer_110,Coimbatore,active,Coimbatore
c111,Customer_111,Coimbatore,active,Coimbatore
c112,Customer_112,Coimbatore,active,Coimbatore
c113,Customer_113,Kochi,active,Kochi
c114,Customer_114,Bengaluru,active,Bengaluru
c115,Customer_115,Pune,active,Pune
c116,Customer_116,Trivandrum,active,Trivandrum
c117,Customer_117,Hyderabad,active,Hyderabad
c118,Customer_118,Hyderabad,active,Hyderabad
c119,Customer_119,Coimbatore,inactive,Coimbatore
c120,Customer_120,Hyderabad,active,Hyderabad
c121,Customer_121,Hyderabad,active,Hyderabad
c122,Customer_122,Pune,active,Pune
c123,Customer_123,Bengaluru,active,Bengaluru
c124,Customer_124,Chennai,active,Chennai
c125,Customer_125,Pune,active,pune
c126,Customer_126,Bengaluru,active,Bengaluru
c127,Customer_127,Kochi,active,koChi
c128,Customer_128,Trivandrum,inactive,Trivandrum
c129,Customer_129,Bengaluru,active,Bengaluru
c130,Customer_130,Coimbatore,active,cmbt
c131,Customer_131,Trivandrum,active,Trivandrum
c132,Customer_132,Mumbai,inactive,mumbai
c133,Customer_133,Trivandrum,active,Trivandrum
c134,Customer_134,Pune,inactive,Pune
c135,Customer_135,Coimbatore,active,Coimbatore
c136,Customer_136,Chennai,active,Chennai
c137,Customer_137,Hyderabad,active,Hyderabad
c138,Customer_138,Hyderabad,active,Hyderabad
c139,Customer_139,Bengaluru,active,Bengaluru
c140,Customer_140,Hyderabad,active,HYDERABAD
c141,Customer_141,Trivandrum,active,trivandrm
c142,Customer_142,Chennai,active,Chennai
c143,Customer_143,Coimbatore,active,Coimbatore
c144,Customer_144,Kochi,active,koChi
c145,Customer_145,Kochi,active,Kochi
c146,Customer_146,Coimbatore,inactive,Coimbatore
c147,Customer_147,Hyderabad,inactive,Hyderabad
c148,Customer_148,Coimbatore,active,Coimbatore
c149,Customer_149,Bengaluru,active,Bengaluru
c150,Customer_150,Mumbai,active,MUMBAI
