transaction_id,customer_id,transaction_date,transaction_amount,payment_mode,transaction_amount_orig,amount_category,transaction_date_parsed,transaction_month
t0064,c121,2025-02-14,5660.0,upi,5660,Medium,2025-02-14,2
t0065,c027,2025-01-21,6944.0,netbanking,6944,Medium,2025-01-21,1
t0066,c074,2025-03-26,9212.0,cash,9212,High,2025-03-26,3
t0067,c117,2025-01-12,4335.0,upi,4335,Medium,2025-01-12,1
t0068,c030,2025-02-21,218.0,wallet,218,Low,2025-02-21,2
t0069,c119,2025-02-22,3273.0,wallet,3273,Medium,2025-02-22,2
t0070,c093,2025-03-21,7442.0,cash,7442,Medium,2025-03-21,3
t0071,c053,2025-02-04,2346.0,upi,2346,Low,2025-02-04,2
t0072,c113,2025-03-31,2189.0,cash,2189,Low,2025-03-31,3
t0073,c062,2025-01-21,9224.0,cash,9224,High,2025-01-21,1
t0074,c142,2025-02-22,3881.0,cash,3881,Medium,2025-02-22,2
t0075,c119,2025-01-16,2722.0,netbanking,2722,Medium,2025-01-16,1
t0076,c075,2025-03-07,7007.0,netbanking,7007,Medium,2025-03-07,3
t0077,c121,2025-02-01,9231.0,card,9231,High,2025-02-01,2
t0078,c099,2025-01-25,8527.0,card,8527,High,2025-01-25,1
t0079,c018,2025-02-05,5768.0,wallet,5768,Medium,2025-02-05,2
t0080,c069,2025-01-01,5091.0,wallet,5091,Medium,2025-01-01,1
t0081,c149,2025-03-26,2634.0,netbanking,2634,Medium,2025-03-26,3
t0082,c138,2025-03-03,5646.0,wallet,5646,Medium,2025-03-03,3
t0083,c140,2025-02-18,5472.0,card,5472,Medium,2025-02-18,2
t0084,c062,2025-03-15,4026.0,netbanking,4026,Medium,2025-03-15,3
t0085,c012,2025-02-10,6446.0,netbanking,6446,Medium,2025-02-10,2
t0086,c039,2025-03-05,2268.0,wallet,2268,Low,2025-03-05,3
t0087,c002,2025-02-12,7413.0,cash,7413,Medium,2025-02-12,2
t0088,c135,2025-02-28,2561.0,netbanking,2561,Medium,2025-02-28,2
t0089,c040,2025-01-10,4542.0,upi,4542,Medium,2025-01-10,1
t0090,c102,2025-03-25,5583.0,wallet,5583,Medium,2025-03-25,3
t0091,c098,2025-02-10,8194.0,wallet,8194,High,2025-02-10,2
t0092,c010,2025-03-21,4046.0,upi,4046,Medium,2025-03-21,3
t0093,c059,2025-01-12,1812.0,cash,1812,Low,2025-01-12,1
t0094,c114,2025-01-22,674.0,cash,674,Low,2025-01-22,1
t0095,c084,2025-01-08,6073.0,upi,6073,Medium,2025-01-08,1
t0096,c111,2025-01-19,8902.0,netbanking,8902,High,2025-01-19,1
t0097,c145,2025-03-29,2985.0,card,2985,Medium,2025-03-29,3
t0098,c021,2025-03-20,4145.0,netbanking,4145,Medium,2025-03-20,3
t0099,c150,2025-01-19,7755.0,upi,7755,High,2025-01-19,1
t0100,c118,2025-02-02,7822.0,upi,7822,High,2025-02-02,2
t0101,c140,2025-01-21,7437.0,upi,7437,Medium,2025-01-21,1
t0102,c001,2025-02-08,7151.0,upi,7151,Medium,2025-02-08,2
t0103,c117,2025-02-08,6502.0,netbanking,6502,Medium,2025-02-08,2
t0104,c028,2025-01-31,9570.0,upi,9570,High,2025-01-31,1
t0105,c148,2025-02-07,559.0,netbanking,559,Low,2025-02-07,2
t0106,c071,2025-01-02,1003.0,wallet,1003,Low,2025-01-02,1
t0107,c128,2025-02-06,5972.0,card,5972,Medium,2025-02-06,2
t0108,c049,2025-03-21,2440.0,cash,2440,Low,2025-03-21,3
t0109,c011,2025-02-09,746.0,wallet,746,Low,2025-02-09,2
t0110,c094,2025-01-17,5035.0,upi,5035,Medium,2025-01-17,1
t0111,c107,2025-01-23,2365.0,wallet,2365,Low,2025-01-23,1
t0112,c094,2025-03-09,4665.0,card,4665,Medium,2025-03-09,3
t0113,c066,2025-03-03,5749.0,cash,5749,Medium,2025-03-03,3
t0114,c120,2025-01-10,3896.0,netbanking,3896,Medium,2025-01-10,1
t0115,c143,2025-02-16,6664.0,cash,6664,Medium,2025-02-16,2
t0116,c068,2025-03-10,7651.0,upi,7651,High,2025-03-10,3
t0117,c068,2025-03-16,6286.0,cash,6286,Medium,2025-03-16,3
t0118,c060,2025-03-02,9398.0,upi,9398,High,2025-03-02,3
t0119,c057,2025-03-24,7806.0,upi,7806,High,2025-03-24,3
t0120,c105,2025-01-15,942.0,cash,942,Low,2025-01-15,1
t0121,c078,2025-03-05,1792.0,card,1792,Low,2025-03-05,3
t0122,c138,2025-01-18,7632.0,upi,7632,High,2025-01-18,1
t0123,c139,2025-02-23,2731.0,netbanking,2731,Medium,2025-02-23,2
t0124,c026,2025-03-04,6886.0,upi,6886,Medium,2025-03-04,3
t0125,c009,2025-03-30,3759.0,netbanking,3759,Medium,2025-03-30,3
t0126,c114,2025-01-31,1827.0,upi,1827,Low,2025-01-31,1
t0127,c140,2025-03-24,1192.0,netbanking,1192,Low,2025-03-24,3
t0128,c071,2025-01-25,7650.0,cash,7650,High,2025-01-25,1
t0129,c055,2025-03-24,9983.0,cash,9983,High,2025-03-24,3
t0130,c013,2025-02-12,2263.0,wallet,2263,Low,2025-02-12,2
t0131,c053,2025-01-09,3594.0,wallet,3594,Medium,2025-01-09,1
t0132,c056,2025-01-30,2617.0,wallet,2617,Medium,2025-01-30,1
t0133,c001,2025-02-05,2329.0,wallet,2329,Low,2025-02-05,2
t0134,c065,2025-01-23,622.0,card,622,Low,2025-01-23,1
t0135,c004,2025-02-15,9847.0,upi,9847,High,2025-02-15,2
t0136,c005,2025-01-23,1058.0,card,1058,Low,2025-01-23,1
t0137,c108,2025-03-09,1241.0,netbanking,1241,Low,2025-03-09,3
t0138,c115,2025-02-16,9926.0,cash,9926,High,2025-02-16,2
t0139,c116,2025-03-06,910.0,wallet,910,Low,2025-03-06,3
t0140,c078,2025-02-28,710.0,cash,710,Low,2025-02-28,2
t0141,c123,2025-02-21,1968.0,netbanking,1968,Low,2025-02-21,2
t0142,c114,2025-01-10,5477.0,wallet,5477,Medium,2025-01-10,1
t0143,c038,2025-01-09,4705.0,wallet,4705,Medium,2025-01-09,1
t0144,c150,2025-03-12,6440.0,wallet,6440,Medium,2025-03-12,3
t0145,c136,2025-02-07,8482.0,wallet,8482,High,2025-02-07,2
t0146,c111,2025-01-13,9233.0,card,9233,High,2025-01-13,1
t0147,c111,2025-02-27,6979.0,upi,6979,Medium,2025-02-27,2
t0148,c117,2025-02-21,1757.0,upi,1757,Low,2025-02-21,2
t0149,c110,2025-02-10,6332.0,card,6332,Medium,2025-02-10,2
t0150,c122,2025-01-09,1598.0,cash,1598,Low,2025-01-09,1
t0151,c111,2025-01-13,2331.0,wallet,2331,Low,2025-01-13,1
t0152,c016,2025-03-17,9402.0,upi,9402,High,2025-03-17,3
t0153,c032,2025-02-22,7129.0,cash,7129,Medium,2025-02-22,2
t0154,c074,2025-03-18,5961.0,cash,5961,Medium,2025-03-18,3
t0155,c148,2025-03-06,2735.0,netbanking,2735,Medium,2025-03-06,3
t0156,c058,2025-01-14,9313.0,upi,9313,High,2025-01-14,1
t0157,c030,2025-02-05,3905.0,netbanking,3905,Medium,2025-02-05,2
t0158,c144,2025-03-21,9321.0,cash,9321,High,2025-03-21,3
t0159,c069,2025-01-04,4677.0,upi,4677,Medium,2025-01-04,1
t0160,c087,2025-02-14,3172.0,card,3172,Medium,2025-02-14,2
t0161,c145,2025-03-26,1340.0,card,1340,Low,2025-03-26,3
t0162,c008,2025-01-12,3724.0,netbanking,3724,Medium,2025-01-12,1
t0163,c108,2025-02-28,2778.0,upi,2778,Medium,2025-02-28,2
t0164,c080,2025-02-11,9968.0,cash,9968,High,2025-02-11,2
t0165,c014,2025-01-20,1015.0,cash,1015,Low,2025-01-20,1
t0166,c070,2025-02-26,8157.0,wallet,8157,High,2025-02-26,2
t0167,c114,2025-02-23,3731.0,wallet,3731,Medium,2025-02-23,2
t0168,c030,2025-02-14,2016.0,upi,2016,Low,2025-02-14,2
t0169,c002,2025-03-04,5253.0,cash,5253,Medium,2025-03-04,3
t0170,c057,2025-02-20,1097.0,cash,1097,Low,2025-02-20,2
t0171,c053,2025-02-08,2448.0,upi,2448,Low,2025-02-08,2
t0172,c075,2025-02-11,326.0,netbanking,326,Low,2025-02-11,2
t0173,c111,2025-01-23,6429.0,wallet,6429,Medium,2025-01-23,1
t0174,c059,2025-03-06,6002.0,cash,6002,Medium,2025-03-06,3
t0175,c102,2025-01-06,507.0,netbanking,507,Low,2025-01-06,1
t0176,c020,2025-02-10,7233.0,wallet,7233,Medium,2025-02-10,2
t0177,c104,2025-03-23,4943.0,cash,4943,Medium,2025-03-23,3
t0178,c104,2025-01-03,3015.0,wallet,3015,Medium,2025-01-03,1
t0179,c118,2025-03-30,1643.0,netbanking,1643,Low,2025-03-30,3
t0180,c028,2025-02-01,9848.0,netbanking,9848,High,2025-02-01,2
t0181,c135,2025-01-11,5283.0,upi,5283,Medium,2025-01-11,1
t0182,c057,2025-02-12,1451.0,wallet,1451,Low,2025-02-12,2
t0183,c030,2025-03-09,3376.0,upi,3376,Medium,2025-03-09,3
t0184,c090,2025-03-24,4071.0,cash,4071,Medium,2025-03-24,3
t0185,c038,2025-02-02,3042.0,wallet,3042,Medium,2025-02-02,2
t0186,c040,2025-03-25,3102.0,netbanking,3102,Medium,2025-03-25,3
t0187,c119,2025-03-14,7554.0,wallet,7554,High,2025-03-14,3
t0188,c083,2025-03-22,2673.0,netbanking,2673,Medium,2025-03-22,3
t0189,c018,2025-03-02,5161.0,upi,5161,Medium,2025-03-02,3
t0190,c002,2025-01-08,8512.0,cash,8512,High,2025-01-08,1
t0191,c080,2025-03-01,816.0,cash,816,Low,2025-03-01,3
t0192,c095,2025-02-06,1679.0,wallet,1679,Low,2025-02-06,2
t0193,c130,2025-02-19,9708.0,wallet,9708,High,2025-02-19,2
t0194,c011,2025-02-27,3284.0,upi,3284,Medium,2025-02-27,2
t0195,c122,2025-03-06,1213.0,netbanking,1213,Low,2025-03-06,3
t0196,c027,2025-02-13,8466.0,card,8466,High,2025-02-13,2
t0197,c011,2025-02-01,7399.0,wallet,7399,Medium,2025-02-01,2
t0198,c134,2025-03-20,6162.0,upi,6162,Medium,2025-03-20,3
t0199,c073,2025-02-19,5743.0,wallet,5743,Medium,2025-02-19,2
t0200,c014,2025-03-22,5682.0,cash,5682,Medium,2025-03-22,3
t0201,c085,2025-01-13,6533.0,upi,6533,Medium,2025-01-13,1
t0202,c065,2025-03-26,2663.0,upi,2663,Medium,2025-03-26,3
t0203,c021,2025-03-16,5931.0,upi,5931,Medium,2025-03-16,3
t0204,c101,2025-01-17,1588.0,upi,1588,Low,2025-01-17,1
t0205,c144,2025-02-18,5581.0,card,5581,Medium,2025-02-18,2
t0206,c135,2025-01-12,7137.0,wallet,7137,Medium,2025-01-12,1
t0207,c093,2025-01-03,5260.0,card,5260,Medium,2025-01-03,1
t0208,c055,2025-02-13,3345.0,card,3345,Medium,2025-02-13,2
t0209,c036,2025-01-20,5046.0,cash,5046,Medium,2025-01-20,1
t0210,c130,2025-03-11,818.0,upi,818,Low,2025-03-11,3
t0211,c034,2025-03-18,2727.0,card,2727,Medium,2025-03-18,3
t0212,c047,2025-03-30,2912.0,netbanking,2912,Medium,2025-03-30,3
t0213,c012,2025-02-22,4091.0,netbanking,4091,Medium,2025-02-22,2
t0214,c073,2025-02-27,8949.0,card,8949,High,2025-02-27,2
t0215,c080,2025-03-02,6226.0,wallet,6226,Medium,2025-03-02,3
t0216,c113,2025-03-01,6456.0,wallet,6456,Medium,2025-03-01,3
t0217,c136,2025-02-23,3471.0,wallet,3471,Medium,2025-02-23,2
t0218,c036,2025-02-02,8073.0,upi,8073,High,2025-02-02,2
t0219,c142,2025-01-14,2242.0,upi,2242,Low,2025-01-14,1
t0220,c022,2025-01-21,7561.0,wallet,7561,High,2025-01-21,1
t0221,c038,2025-02-25,3837.0,netbanking,3837,Medium,2025-02-25,2
t0222,c090,2025-01-04,1072.0,netbanking,1072,Low,2025-01-04,1
t0223,c129,2025-02-17,6526.0,cash,6526,Medium,2025-02-17,2
t0224,c096,2025-01-29,5421.0,cash,5421,Medium,2025-01-29,1
t0225,c086,2025-01-19,827.0,upi,827,Low,2025-01-19,1
t0226,c121,2025-03-31,7885.0,netbanking,7885,High,2025-03-31,3
t0227,c002,2025-01-11,4393.0,card,4393,Medium,2025-01-11,1
t0228,c039,2025-03-12,8847.0,netbanking,8847,High,2025-03-12,3
t0229,c029,2025-02-06,5134.0,cash,5134,Medium,2025-02-06,2
t0230,c013,2025-01-31,7689.0,cash,7689,High,2025-01-31,1
t0231,c029,2025-03-05,8982.0,cash,8982,High,2025-03-05,3
t0232,c132,2025-03-15,2552.0,upi,2552,Medium,2025-03-15,3
t0233,c110,2025-01-01,5980.0,card,5980,Medium,2025-01-01,1
t0234,c147,2025-02-23,1602.0,wallet,1602,Low,2025-02-23,2
t0235,c093,2025-01-09,9114.0,wallet,9114,High,2025-01-09,1
t0236,c130,2025-03-12,6597.0,netbanking,6597,Medium,2025-03-12,3
t0237,c012,2025-03-23,6316.0,upi,6316,Medium,2025-03-23,3
t0238,c005,2025-02-15,5849.0,card,5849,Medium,2025-02-15,2
t0239,c027,2025-03-16,2385.0,cash,2385,Low,2025-03-16,3
t0240,c091,2025-03-11,3068.0,netbanking,3068,Medium,2025-03-11,3
t0241,c123,2025-03-22,2409.0,cash,2409,Low,2025-03-22,3
t0242,c118,2025-01-05,3502.0,cash,3502,Medium,2025-01-05,1
t0243,c052,2025-01-06,5280.0,wallet,5280,Medium,2025-01-06,1
t0244,c102,2025-03-11,4350.0,cash,4350,Medium,2025-03-11,3
t0245,c049,2025-02-06,983.0,upi,983,Low,2025-02-06,2
t0246,c070,2025-01-16,7359.0,netbanking,7359,Medium,2025-01-16,1
t0247,c113,2025-02-19,3260.0,netbanking,3260,Medium,2025-02-19,2
t0248,c128,2025-02-17,4569.0,cash,4569,Medium,2025-02-17,2
t0249,c109,2025-01-11,3156.0,wallet,3156,Medium,2025-01-11,1
t0250,c076,2025-02-11,1511.0,upi,1511,Low,2025-02-11,2
t0251,c076,2025-02-09,7181.0,card,7181,Medium,2025-02-09,2
t0252,c114,2025-02-14,893.0,upi,893,Low,2025-02-14,2
t0253,c112,2025-02-05,1139.0,cash,1139,Low,2025-02-05,2
t0254,c104,2025-02-16,2821.0,cash,2821,Medium,2025-02-16,2
t0255,c037,2025-03-19,770.0,card,770,Low,2025-03-19,3
t0256,c018,2025-01-31,6201.0,upi,6201,Medium,2025-01-31,1
t0257,c099,2025-03-14,2713.0,netbanking,2713,Medium,2025-03-14,3
t0258,c095,2025-02-17,1459.0,wallet,1459,Low,2025-02-17,2
t0259,c036,2025-03-09,6721.0,upi,6721,Medium,2025-03-09,3
t0260,c072,2025-02-01,624.0,card,624,Low,2025-02-01,2
t0261,c128,2025-03-08,9402.0,cash,9402,High,2025-03-08,3
t0262,c068,2025-02-03,3715.0,wallet,3715,Medium,2025-02-03,2
t0263,c074,2025-03-30,3479.0,cash,3479,Medium,2025-03-30,3
t0264,c035,2025-01-10,3028.0,netbanking,3028,Medium,2025-01-10,1
t0265,c023,2025-03-29,5892.0,cash,5892,Medium,2025-03-29,3
t0266,c141,2025-03-11,5114.0,card,5114,Medium,2025-03-11,3
t0267,c045,2025-02-16,3873.0,cash,3873,Medium,2025-02-16,2
t0268,c052,2025-01-18,8294.0,cash,8294,High,2025-01-18,1
t0269,c093,2025-03-12,6244.0,netbanking,6244,Medium,2025-03-12,3
t0270,c142,2025-01-17,1612.0,cash,1612,Low,2025-01-17,1
t0271,c080,2025-02-20,8812.0,netbanking,8812,High,2025-02-20,2
t0272,c105,2025-03-15,2253.0,upi,2253,Low,2025-03-15,3
t0273,c019,2025-02-27,8676.0,upi,8676,High,2025-02-27,2
t0274,c033,2025-03-12,9830.0,card,9830,High,2025-03-12,3
t0275,c034,2025-02-25,1107.0,cash,1107,Low,2025-02-25,2
t0276,c133,2025-01-20,2897.0,card,2897,Medium,2025-01-20,1
t0277,c083,2025-01-29,8701.0,upi,8701,High,2025-01-29,1
t0278,c021,2025-02-02,9224.0,upi,9224,High,2025-02-02,2
t0279,c033,2025-03-22,8940.0,cash,8940,High,2025-03-22,3
t0280,c129,2025-03-24,9896.0,wallet,9896,High,2025-03-24,3
t0281,c040,2025-01-22,5731.0,wallet,5731,Medium,2025-01-22,1
t0282,c011,2025-01-04,944.0,wallet,944,Low,2025-01-04,1
t0283,c068,2025-03-25,9573.0,netbanking,9573,High,2025-03-25,3
t0284,c008,2025-03-05,9138.0,upi,9138,High,2025-03-05,3
t0285,c078,2025-03-03,6853.0,upi,6853,Medium,2025-03-03,3
t0286,c117,2025-01-10,2789.0,netbanking,2789,Medium,2025-01-10,1
t0287,c107,2025-03-03,3542.0,upi,3542,Medium,2025-03-03,3
t0288,c037,2025-02-10,5858.0,netbanking,5858,Medium,2025-02-10,2
t0289,c034,2025-02-17,9402.0,cash,9402,High,2025-02-17,2
t0290,c082,2025-01-31,2207.0,upi,2207,Low,2025-01-31,1
t0291,c116,2025-02-01,1786.0,cash,1786,Low,2025-02-01,2
t0292,c075,2025-02-19,7050.0,card,7050,Medium,2025-02-19,2
t0293,c041,2025-02-11,5323.0,card,5323,Medium,2025-02-11,2
t0294,c041,2025-03-05,7848.0,netbanking,7848,High,2025-03-05,3
t0295,c079,2025-03-05,1675.0,netbanking,1675,Low,2025-03-05,3
t0296,c130,2025-02-28,3724.0,wallet,3724,Medium,2025-02-28,2
t0297,c091,2025-01-07,4809.0,netbanking,4809,Medium,2025-01-07,1
t0298,c121,2025-02-06,333.0,cash,333,Low,2025-02-06,2
t0299,c111,2025-01-18,6192.0,netbanking,6192,Medium,2025-01-18,1
t0300,c094,2025-01-06,1038.0,wallet,1038,Low,2025-01-06,1
